0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/resources/img/msg.jpg HTTP/1.1" 200 43334
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/resources/img/stubg.jpg HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/findUserMsg HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:30 +0800] "GET /laboratoryweb/getNoticeList?_=1589260769934 HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "GET /laboratoryweb/laboratoryInfo?_=1589260769935 HTTP/1.1" 200 6183
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "POST /laboratoryweb/getAllTimeSection HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "GET /laboratoryweb/resources/css/icons/add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "GET /laboratoryweb/resources/css/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "GET /laboratoryweb/resources/css/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/datebox_arrow.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:35 +0800] "POST /laboratoryweb/getPagerLaboratorys HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:36 +0800] "GET /laboratoryweb/myOrderInfo?_=1589260769936 HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:36 +0800] "POST /laboratoryweb/getPagerOrderByUser HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:38 +0800] "GET /laboratoryweb/myExperProject?_=1589260769937 HTTP/1.1" 200 4985
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:38 +0800] "POST /laboratoryweb/getPagerStuExperProjects HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:41 +0800] "GET /laboratoryweb/exit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:41 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:41 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:48 +0800] "GET null HTTP/1.1" 400 1922
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/resources/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/resources/css/icons/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/resources/css/icons/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/resources/css/icons/key.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/resources/img/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:19:52 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:05 +0800] "GET null HTTP/1.1" 400 1922
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:38 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:38 +0800] "GET /laboratoryweb/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:38 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:38 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:48 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:48 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:48 +0800] "GET /laboratoryweb/teacherPage HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:48 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:48 +0800] "GET /laboratoryweb/resources/js/page.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:48 +0800] "GET /laboratoryweb/resources/js/teacherPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2020:13:20:49 +0800] "GET /laboratoryweb/teacherIndex?_=1589260848960 HTTP/1.1" 200 15400
