0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:00 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:00 +0800] "GET /laboratoryweb/kaptcha.jpg?d=Sat%20Apr%2025%202020%2020:20:00%20GMT+0800%20(%E4%B8%AD%E5%9B%BD%E6%A0%87%E5%87%86%E6%97%B6%E9%97%B4) HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:14 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:14 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:14 +0800] "GET /laboratoryweb/kaptcha.jpg?d=Sat%20Apr%2025%202020%2020:20:14%20GMT+0800%20(%E4%B8%AD%E5%9B%BD%E6%A0%87%E5%87%86%E6%97%B6%E9%97%B4) HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/studentPage HTTP/1.1" 200 6402
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/css/icon.css HTTP/1.1" 200 138477
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/easyui.css HTTP/1.1" 200 75984
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/css/page.css HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/easyui/jquery.easyui.min.js HTTP/1.1" 200 467370
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/easyui/local/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/studentPage.js HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/page.js HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/img/bg.jpg HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/css/icons/tip.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/loading.gif HTTP/1.1" 200 1737
